source,target,source_dataset,target_dataset,target_f1,source_checkpoint,source_encoded_amplitude_excursion_mean,source_encoded_amplitude_excursion_cv,source_encoded_amplitude_phase_energy_cv_mean,source_encoded_amplitude_late_early_energy_ratio_mean,source_encoded_interphase_adjacent_jump_mean,source_encoded_interphase_adjacent_jump_cv,source_encoded_interphase_boundary_sharpness_mean,source_encoded_interphase_early_late_shift_mean,source_encoded_interphase_global_separation_mean,source_encoded_intraphase_radius_mean,source_encoded_intraphase_radius_phase_cv_mean,source_encoded_intraphase_internal_step_mean,source_encoded_intraphase_late_early_radius_ratio_mean,source_encoded_trend_path_length_mean,source_encoded_trend_directionality_mean,source_encoded_trend_curvature_mean,source_encoded_trend_burstiness_mean
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,0.7654798997206099,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,3.85207200050354,0.19572153687477112,0.15688113868236542,0.9641215801239014,1.018718957901001,0.4028271734714508,1.4652342796325684,0.7377749085426331,1.0323822498321533,1.5431665182113647,0.1247265562415123,0.8671395778656006,1.231540560722351,24.885656356811523,0.049162063747644424,1.4324734210968018,2.1095006465911865
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,0.660907604037392,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,3.85207200050354,0.19572153687477112,0.15688113868236542,0.9641215801239014,1.018718957901001,0.4028271734714508,1.4652342796325684,0.7377749085426331,1.0323822498321533,1.5431665182113647,0.1247265562415123,0.8671395778656006,1.231540560722351,24.885656356811523,0.049162063747644424,1.4324734210968018,2.1095006465911865
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,0.8172605642233364,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,3.85207200050354,0.19572153687477112,0.15688113868236542,0.9641215801239014,1.018718957901001,0.4028271734714508,1.4652342796325684,0.7377749085426331,1.0323822498321533,1.5431665182113647,0.1247265562415123,0.8671395778656006,1.231540560722351,24.885656356811523,0.049162063747644424,1.4324734210968018,2.1095006465911865
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,0.7263616022773961,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,5.442012310028076,0.11625886708498001,0.13974620401859283,0.886189877986908,1.4637829065322876,0.3378899395465851,1.451380729675293,1.2277617454528809,1.5526059865951538,2.1363492012023926,0.04814395308494568,1.0857620239257812,0.9859865307807922,32.1959342956543,0.04863034188747406,1.7094403505325317,2.0777459144592285
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,0.6692498894464263,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,5.442012310028076,0.11625886708498001,0.13974620401859283,0.886189877986908,1.4637829065322876,0.3378899395465851,1.451380729675293,1.2277617454528809,1.5526059865951538,2.1363492012023926,0.04814395308494568,1.0857620239257812,0.9859865307807922,32.1959342956543,0.04863034188747406,1.7094403505325317,2.0777459144592285
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,0.6891402524899729,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,5.442012310028076,0.11625886708498001,0.13974620401859283,0.886189877986908,1.4637829065322876,0.3378899395465851,1.451380729675293,1.2277617454528809,1.5526059865951538,2.1363492012023926,0.04814395308494568,1.0857620239257812,0.9859865307807922,32.1959342956543,0.04863034188747406,1.7094403505325317,2.0777459144592285
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,0.567266588240087,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,6.627230167388916,0.09249270707368851,0.09237942844629288,0.9392606616020203,1.6011508703231812,0.20190149545669556,1.244978427886963,1.1203111410140991,1.6669069528579712,2.64152193069458,0.06863709539175034,1.4220988750457764,0.9163810610771179,41.788421630859375,0.06278542429208755,2.1844000816345215,1.7622348070144653
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,0.5047673630709492,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,6.627230167388916,0.09249270707368851,0.09237942844629288,0.9392606616020203,1.6011508703231812,0.20190149545669556,1.244978427886963,1.1203111410140991,1.6669069528579712,2.64152193069458,0.06863709539175034,1.4220988750457764,0.9163810610771179,41.788421630859375,0.06278542429208755,2.1844000816345215,1.7622348070144653
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,0.6287787828586038,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,6.627230167388916,0.09249270707368851,0.09237942844629288,0.9392606616020203,1.6011508703231812,0.20190149545669556,1.244978427886963,1.1203111410140991,1.6669069528579712,2.64152193069458,0.06863709539175034,1.4220988750457764,0.9163810610771179,41.788421630859375,0.06278542429208755,2.1844000816345215,1.7622348070144653
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,0.6644981734888166,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v234_trend_s010_rel003/fold_0/model.pt,7.148751258850098,0.1080501601099968,0.112510547041893,1.0018950700759888,1.7804031372070312,0.17097553610801697,1.2029215097427368,0.9663928747177124,1.766802430152893,2.5415751934051514,0.11219631135463715,1.7311272621154785,1.2202683687210083,48.95030975341797,0.032359879463911057,2.5875539779663086,1.814061164855957
