source,target,source_dataset,target_dataset,timematch_experiment,class_name,class_f1,class_precision,class_recall,class_support,class_fold_count,target_f1,prototype_distance,target_fisher_ratio,pse_mid_curve_distance,raw_source_curve_spread,target_curve_spread,target_curve_activity_range,pse_late_curve_distance,source_fisher_ratio,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,domain_ndvi_curve_mse,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,pse_early_curve_distance,classwise_curve_shift_mse_mean,best_shifted_curve_mse,acf_distance,domain_bandwise_curve_mse,global_curve_shift_mse,raw_curve_spread_gap,class_relative_curve_structure_corr,raw_target_curve_activity_range,curve_spread_gap,pse_trend_curve_distance,raw_target_fisher_ratio,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,source_curve_activity_range,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,source_curve_spread,fisher_ratio_gap,raw_curve_activity_range_gap,mmd,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,class_relative_curve_structure_mse,relation_structure_distance,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,raw_fisher_ratio_gap,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,raw_source_fisher_ratio,coral,curve_activity_range_gap,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,raw_target_curve_spread,raw_source_curve_activity_range
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,winter_wheat,0.98,0.98,0.97,4490.0,1,0.7778698850044692,1.4654487371444702,2.5387837886810303,0.169449120759964,0.12325584888458252,1.5712876319885254,0.9281519055366516,0.18606382608413696,2.375810384750366,0.7321340116587552,0.7321340116587552,0.03603022173047066,0.05812385301532046,0.05812385301532046,0.14923305809497833,0.0002772654115688056,0.00018040130089502782,0.07656922936439514,0.00023987554595805705,0.00023987554595805705,0.016413740813732147,0.4541029022023368,0.13678763806819916,-0.31067943572998047,1.4431072473526,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.821890115737915,0.00012095875717932358,0.00012095875717932358,1.260608196258545,-0.16297340393066406,0.02147233486175537,0.1132051944732666,0.03394764737904725,0.03394764737904725,0.002693342976272106,0.0015326159773394465,0.07352254065600317,0.07352254065600317,-0.05599726736545563,1.764119224390015e-05,1.764119224390015e-05,0.023563042283058167,0.0003045329940505326,-0.10626178979873657,0.00013859994942322373,0.00013859994942322373,0.10684210807085037,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,corn,0.98,0.98,0.98,623.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,horsebeans,0.74,0.67,0.82,56.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,meadow,0.96,0.95,0.98,2150.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,spring_barley,0.96,0.98,0.93,2250.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,spring_peas,0.49,0.44,0.54,48.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,sunflowers,0.0,0.0,0.0,0.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,winter_barley,0.95,0.99,0.92,602.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,winter_oat,0.0,0.0,0.0,0.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,winter_rapeseed,0.99,0.99,0.99,460.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v222_s010_rel003,winter_triticale,0.38,0.66,0.26,72.0,1,0.6732770937211304,2.359753131866455,2.872361183166504,0.13870340585708618,0.12325584888458252,1.1787441968917847,0.8589188456535339,0.13193677365779877,2.5324923992156982,0.7321340116587552,0.7321340116587552,0.03144913911819458,0.05812385301532046,0.05812385301532046,0.1654343158006668,0.00023077808145899326,0.0001637448585825041,0.04414838179945946,0.00016374487313441932,0.0001637448585825041,-0.032970622181892395,-0.17035706514454035,0.17221680283546448,-0.06661820411682129,1.4983680248260498,0.021165624260902405,0.6677387654781342,0.6677387654781342,0.7856743335723877,0.0001680984569247812,0.0001680984569247812,1.1121259927749634,-0.33986878395080566,-0.013956829905509949,0.10734832286834717,0.06577309494737843,0.06577309494737843,0.017287269234657288,0.0034159068018198013,0.06439524618062109,0.06439524618062109,0.0023974180221557617,-2.949850750155747e-05,-2.949850750155747e-05,0.023563042283058167,0.00021800611284561455,-0.07324451208114624,0.00013859994942322373,0.00013859994942322373,0.15622647106647491,0.15825997292995453
